base_currency,quote_currency,bid,ask,midpoint
AUD,AUD,1,1,1
AUD,BRL,2.72973,2.732,2.73086
AUD,CAD,0.911751,0.912032,0.911892
AUD,CHF,0.698867,0.699116,0.698992
AUD,CNY,4.83817,4.84153,4.83985
AUD,DKK,4.56455,4.56645,4.5655
AUD,EUR,0.611984,0.612092,0.612038
AUD,GBP,0.538063,0.538228,0.538146
AUD,HKD,5.52084,5.52239,5.52162
AUD,INR,52.3039,52.3876,52.3458
AUD,JPY,80.07,80.087,80.0785
AUD,KRW,797.622,799.02,798.321
AUD,MXN,13.351,13.3569,13.354
AUD,MYR,2.92424,2.9276,2.92592
AUD,NOK,5.82526,5.8292,5.82723
AUD,NZD,1.09482,1.09514,1.09498
AUD,PLN,2.63771,2.63981,2.63876
AUD,RUB,46.9721,47.0101,46.9911
AUD,SEK,6.39511,6.39836,6.39674
AUD,SGD,0.97394,0.974296,0.974118
AUD,THB,23.0887,23.1775,23.1331
AUD,TRY,4.32406,4.33285,4.32846
AUD,TWD,21.7795,21.799,21.7892
AUD,USD,0.70461,0.70474,0.704675
AUD,ZAR,10.4345,10.4443,10.4394
BRL,AUD,0.366033,0.366337,0.366185
BRL,BRL,1,1,1
BRL,CAD,0.333792,0.334049,0.33392
BRL,CHF,0.255856,0.256065,0.25596
BRL,CNY,1.77126,1.7733,1.77228
BRL,DKK,1.67108,1.67255,1.67182
BRL,EUR,0.224042,0.224212,0.224127
BRL,GBP,0.196985,0.197136,0.19706
BRL,HKD,2.02118,2.02268,2.02193
BRL,INR,19.1485,19.1879,19.1682
BRL,JPY,29.3123,29.3343,29.3233
BRL,KRW,292.01,292.656,292.333
BRL,MXN,4.8878,4.89221,4.89
BRL,MYR,1.07056,1.07229,1.07142
BRL,NOK,2.13263,2.13506,2.13384
BRL,NZD,0.400767,0.40112,0.400944
BRL,PLN,0.965666,0.96688,0.966273
BRL,RUB,17.1965,17.2183,17.2074
BRL,SEK,2.34125,2.34352,2.34238
BRL,SGD,0.35656,0.356854,0.356707
BRL,THB,8.45277,8.4892,8.47098
BRL,TRY,1.58304,1.58699,1.58502
BRL,TWD,7.97348,7.98431,7.9789
BRL,USD,0.257958,0.258124,0.258041
BRL,ZAR,3.82009,3.82543,3.82276
CAD,AUD,1.09645,1.09679,1.09662
CAD,BRL,2.99357,2.99587,2.99472
CAD,CAD,1,1,1
CAD,CHF,0.766416,0.766642,0.766529
CAD,CNY,5.3058,5.30916,5.30748
CAD,DKK,5.00573,5.00752,5.00662
CAD,EUR,0.67112,0.671279,0.6712
CAD,GBP,0.59007,0.590215,0.590142
CAD,HKD,6.05445,6.05579,6.05512
CAD,INR,57.3593,57.4476,57.4034
CAD,JPY,87.805,87.8252,87.8151
CAD,KRW,874.716,876.196,875.456
CAD,MXN,14.6414,14.647,14.6442
CAD,MYR,3.20688,3.21037,3.20862
CAD,NOK,6.3883,6.39223,6.39026
CAD,NZD,1.2005,1.20093,1.20072
CAD,PLN,2.89265,2.89478,2.89372
CAD,RUB,51.5121,51.5507,51.5314
CAD,SEK,7.01323,7.01636,7.0148
CAD,SGD,1.06808,1.0684,1.06824
CAD,THB,25.3203,25.4162,25.3682
CAD,TRY,4.74201,4.75135,4.74668
CAD,TWD,23.8846,23.9045,23.8946
CAD,USD,0.772714,0.772809,0.772762
CAD,ZAR,11.4431,11.4531,11.4481
CHF,AUD,1.43038,1.43089,1.43064
CHF,BRL,3.90526,3.90845,3.90686
CHF,CAD,1.30439,1.30477,1.30458
CHF,CHF,1,1,1
CHF,CNY,6.92169,6.9264,6.92404
CHF,DKK,6.53023,6.53287,6.53155
CHF,EUR,0.875549,0.87568,0.875614
CHF,GBP,0.769811,0.770001,0.769906
CHF,HKD,7.89834,7.90046,7.8994
CHF,INR,74.8281,74.9468,74.8874
CHF,JPY,114.56,114.583,114.572
CHF,KRW,1141.11,1143.1,1142.1
CHF,MXN,19.1005,19.1086,19.1046
CHF,MYR,4.18353,4.18828,4.1859
CHF,NOK,8.33385,8.33939,8.33662
CHF,NZD,1.56611,1.56675,1.56643
CHF,PLN,3.77361,3.77657,3.77509
CHF,RUB,67.2002,67.2537,67.227
CHF,SEK,9.14911,9.15363,9.15137
CHF,SGD,1.39336,1.39385,1.3936
CHF,THB,33.0316,33.1582,33.0949
CHF,TRY,6.18619,6.19867,6.19243
CHF,TWD,31.1586,31.1862,31.1724
CHF,USD,1.00804,1.00822,1.00813
CHF,ZAR,14.9281,14.9419,14.935
CNY,AUD,0.206546,0.20669,0.206618
CNY,BRL,0.56392,0.564571,0.564246
CNY,CAD,0.188354,0.188473,0.188414
CNY,CHF,0.144375,0.144473,0.144424
CNY,CNY,1,1,1
CNY,DKK,0.942965,0.943665,0.943315
CNY,EUR,0.126423,0.126502,0.126462
CNY,GBP,0.111156,0.111226,0.111191
CNY,HKD,1.14052,1.14121,1.14086
CNY,INR,10.8052,10.826,10.8156
CNY,JPY,16.5404,16.5506,16.5455
CNY,KRW,164.776,165.119,164.948
CNY,MXN,2.7581,2.76022,2.75916
CNY,MYR,0.604102,0.604992,0.604547
CNY,NOK,1.20341,1.20461,1.20401
CNY,NZD,0.226147,0.226315,0.226231
CNY,PLN,0.544909,0.545521,0.545215
CNY,RUB,9.7037,9.71471,9.7092
CNY,SEK,1.32113,1.32223,1.32168
CNY,SGD,0.201201,0.20134,0.20127
CNY,THB,4.76976,4.78967,4.77972
CNY,TRY,0.893285,0.89539,0.894338
CNY,TWD,4.4993,4.5048,4.50205
CNY,USD,0.145561,0.145636,0.145598
CNY,ZAR,2.15561,2.15834,2.15698
DKK,AUD,0.218988,0.21908,0.219034
DKK,BRL,0.597889,0.598414,0.598152
DKK,CAD,0.1997,0.199771,0.199736
DKK,CHF,0.153072,0.153134,0.153103
DKK,CNY,1.0597,1.06049,1.0601
DKK,DKK,1,1,1
DKK,EUR,0.134047,0.134071,0.134059
DKK,GBP,0.117851,0.117893,0.117872
DKK,HKD,1.20922,1.20962,1.20942
DKK,INR,11.4561,11.4749,11.4655
DKK,JPY,17.5368,17.5427,17.5398
DKK,KRW,174.702,175.017,174.86
DKK,MXN,2.92425,2.92568,2.92496
DKK,MYR,0.640492,0.641259,0.640876
DKK,NOK,1.2759,1.27682,1.27636
DKK,NZD,0.239769,0.239881,0.239825
DKK,PLN,0.577734,0.578222,0.577978
DKK,RUB,10.2882,10.2971,10.2926
DKK,SEK,1.40071,1.40149,1.4011
DKK,SGD,0.213321,0.213409,0.213365
DKK,THB,5.05708,5.07678,5.06693
DKK,TRY,0.947094,0.949064,0.948079
DKK,TWD,4.77033,4.77484,4.77258
DKK,USD,0.15433,0.154366,0.154348
DKK,ZAR,2.28546,2.28772,2.28659
EUR,AUD,1.63374,1.63403,1.63388
EUR,BRL,4.46006,4.46344,4.46175
EUR,CAD,1.48969,1.49005,1.48987
EUR,CHF,1.14197,1.14214,1.14206
EUR,CNY,7.905,7.90992,7.90746
EUR,DKK,7.45873,7.46005,7.45939
EUR,EUR,1,1,1
EUR,GBP,0.87919,0.87935,0.87927
EUR,HKD,9.02142,9.02223,9.02182
EUR,INR,85.4584,85.589,85.5237
EUR,JPY,130.843,130.861,130.852
EUR,KRW,1303.22,1305.41,1304.32
EUR,MXN,21.8139,21.822,21.818
EUR,MYR,4.77786,4.78301,4.78044
EUR,NOK,9.51903,9.52267,9.52085
EUR,NZD,1.7886,1.78922,1.78891
EUR,PLN,4.30997,4.3129,4.31144
EUR,RUB,76.7468,76.8034,76.7751
EUR,SEK,10.4497,10.4529,10.4513
EUR,SGD,1.5913,1.59177,1.59154
EUR,THB,37.7242,37.8666,37.7954
EUR,TRY,7.06501,7.07886,7.07194
EUR,TWD,35.5851,35.6145,35.5998
EUR,USD,1.15125,1.15138,1.15132
EUR,ZAR,17.0488,17.0636,17.0562
GBP,AUD,1.85795,1.85852,1.85824
GBP,BRL,5.07263,5.07652,5.07458
GBP,CAD,1.6943,1.69472,1.69451
GBP,CHF,1.2987,1.29902,1.29886
GBP,CNY,8.99072,8.99641,8.99356
GBP,DKK,8.48226,8.48527,8.48376
GBP,EUR,1.1372,1.13741,1.1373
GBP,GBP,1,1,1
GBP,HKD,10.2593,10.2616,10.2604
GBP,INR,97.1958,97.3452,97.2705
GBP,JPY,148.794,148.82,148.807
GBP,KRW,1482.21,1484.72,1483.46
GBP,MXN,24.81,24.8194,24.8147
GBP,MYR,5.43408,5.43998,5.43703
GBP,NOK,10.825,10.8317,10.8284
GBP,NZD,2.03426,2.03498,2.03462
GBP,PLN,4.90163,4.90522,4.90342
GBP,RUB,87.2877,87.3529,87.3203
GBP,SEK,11.884,11.8893,11.8866
GBP,SGD,1.80986,1.81041,1.81014
GBP,THB,42.9054,43.0678,42.9866
GBP,TRY,8.03537,8.05119,8.04328
GBP,TWD,40.4726,40.5064,40.4895
GBP,USD,1.30937,1.30953,1.30945
GBP,ZAR,19.3904,19.4074,19.3989
HKD,AUD,0.181081,0.181132,0.181106
HKD,BRL,0.494393,0.49476,0.494576
HKD,CAD,0.165131,0.165168,0.16515
HKD,CHF,0.126575,0.126609,0.126592
HKD,CNY,0.876262,0.876794,0.876528
HKD,DKK,0.826705,0.826978,0.826842
HKD,EUR,0.110837,0.110847,0.110842
HKD,GBP,0.097451,0.0974723,0.0974616
HKD,HKD,1,1,1
HKD,INR,9.47299,9.48731,9.48015
HKD,JPY,14.5011,14.5041,14.5026
HKD,KRW,144.461,144.701,144.581
HKD,MXN,2.41805,2.41891,2.41848
HKD,MYR,0.529621,0.530183,0.529902
HKD,NOK,1.05504,1.05566,1.05535
HKD,NZD,0.198265,0.19833,0.198298
HKD,PLN,0.477727,0.478065,0.477896
HKD,RUB,8.50731,8.51345,8.51038
HKD,SEK,1.15825,1.15873,1.15849
HKD,SGD,0.176395,0.176444,0.17642
HKD,THB,4.18169,4.19741,4.18955
HKD,TRY,0.78315,0.784672,0.783911
HKD,TWD,3.94458,3.94777,3.94618
HKD,USD,0.127615,0.127627,0.127621
HKD,ZAR,1.88984,1.89145,1.89064
INR,AUD,0.0190885,0.019119,0.0191038
INR,BRL,0.0521161,0.0522235,0.0521698
INR,CAD,0.0174072,0.017434,0.0174206
INR,CHF,0.0133428,0.013364,0.0133534
INR,CNY,0.0923705,0.0925483,0.0924594
INR,DKK,0.0871465,0.0872901,0.0872183
INR,EUR,0.0116837,0.0117016,0.0116926
INR,GBP,0.0102727,0.0102885,0.0102806
INR,HKD,0.105404,0.105563,0.105484
INR,INR,1,1,1
INR,JPY,1.52863,1.53095,1.52979
INR,KRW,15.2282,15.2737,15.251
INR,MXN,0.254897,0.255323,0.25511
INR,MYR,0.0558296,0.0559625,0.055896
INR,NOK,0.111216,0.111428,0.111322
