New node number 	 Original node number 
1	362
2	363
3	364
4	365
5	366
6	367
7	368
8	369
9	370
10	371
11	372
12	373
13	374
14	375
15	376
16	377
17	378
18	379
19	380
20	381
21	382
22	383
23	384
24	385
25	386
26	387
27	388
28	389
29	390
30	391
31	392
32	393
33	394
34	395
35	396
36	397
37	0
38	1
39	2
40	3
41	4
42	5
43	6
44	7
45	8
46	9
47	10
48	11
49	12
50	13
51	14
52	15
53	16
54	17
55	18
56	19
57	20
58	21
59	22
60	23
61	24
62	25
63	26
64	27
65	28
66	29
67	30
68	31
69	32
70	33
71	34
72	35
73	36
74	37
75	38
76	39
77	40
78	41
79	42
80	43
81	44
82	45
83	46
84	47
85	48
86	49
87	50
88	51
89	52
90	53
91	54
92	55
93	56
94	57
95	58
96	59
97	60
98	61
99	62
100	63
101	64
102	65
103	66
104	67
105	68
106	69
107	70
108	71
109	72
110	73
111	74
112	75
113	76
114	77
115	78
116	79
117	80
118	81
119	82
120	83
121	84
122	85
123	86
124	87
125	88
126	89
127	90
128	91
129	92
130	93
131	94
132	95
133	96
134	97
135	98
136	99
137	100
138	101
139	102
140	103
141	104
142	105
143	106
144	107
145	108
146	109
147	110
148	111
149	112
150	113
151	114
152	115
153	116
154	117
155	118
156	119
157	120
158	121
159	122
160	123
161	124
162	125
163	126
164	127
165	128
166	129
167	130
168	131
169	132
170	133
171	134
172	135
173	136
174	137
175	138
176	139
177	140
178	141
179	142
180	143
181	144
182	145
183	146
184	147
185	148
186	149
187	150
188	151
189	152
190	153
191	154
192	155
193	156
194	157
195	158
196	159
197	160
198	161
199	162
200	163
201	164
202	165
203	166
204	167
205	168
206	169
207	170
208	171
209	172
210	173
211	174
212	175
213	176
214	177
215	178
216	179
217	180
218	181
219	182
220	183
221	184
222	185
223	186
224	187
225	188
226	189
227	190
228	191
229	192
230	193
231	194
232	195
233	196
234	197
235	198
236	199
237	200
238	201
239	202
240	203
241	204
242	205
243	206
244	207
245	208
246	209
247	210
248	211
249	212
250	213
251	214
252	215
253	216
254	217
255	218
256	219
257	220
258	221
259	222
260	223
261	224
262	225
263	226
264	227
265	228
266	229
267	230
268	231
269	232
270	233
271	234
272	235
273	236
274	237
275	238
276	239
277	240
278	241
279	242
280	243
281	244
282	245
283	246
284	247
285	248
286	249
287	250
288	251
289	252
290	253
291	254
292	255
293	256
294	257
295	258
296	259
297	260
298	261
299	262
300	263
301	264
302	265
303	266
304	267
305	268
306	269
307	270
308	271
309	272
310	273
311	274
312	275
313	276
314	277
315	278
316	279
317	280
318	281
319	282
320	283
321	284
322	285
323	286
324	287
325	288
326	289
327	290
328	291
329	292
330	293
331	294
332	295
333	296
334	297
335	298
336	299
337	300
338	301
339	302
340	303
341	304
342	305
343	306
344	307
345	308
346	309
347	310
348	311
349	312
350	313
351	314
352	315
353	316
354	317
355	318
356	319
357	320
358	321
359	322
360	323
361	324
362	325
363	326
364	327
365	328
366	329
367	330
368	331
369	332
370	333
371	334
372	335
373	336
374	337
375	338
376	339
377	340
378	341
379	342
380	343
381	344
382	345
383	346
384	347
385	348
386	349
387	350
388	351
389	352
390	353
391	354
392	355
393	356
394	357
395	358
396	359
397	360
398	361
