New node number 	 Original node number 
1	314
2	315
3	316
4	317
5	318
6	319
7	320
8	321
9	322
10	323
11	324
12	325
13	326
14	327
15	328
16	329
17	330
18	331
19	332
20	333
21	334
22	335
23	336
24	337
25	338
26	339
27	340
28	341
29	342
30	343
31	344
32	345
33	346
34	347
35	348
36	349
37	350
38	351
39	0
40	1
41	2
42	3
43	4
44	5
45	6
46	7
47	8
48	9
49	10
50	11
51	12
52	13
53	14
54	15
55	16
56	17
57	18
58	19
59	20
60	21
61	22
62	23
63	24
64	25
65	26
66	27
67	28
68	29
69	30
70	31
71	32
72	33
73	34
74	35
75	36
76	37
77	38
78	39
79	40
80	41
81	42
82	43
83	44
84	45
85	46
86	47
87	48
88	49
89	50
90	51
91	52
92	53
93	54
94	55
95	56
96	57
97	58
98	59
99	60
100	61
101	62
102	63
103	64
104	65
105	66
106	67
107	68
108	69
109	70
110	71
111	72
112	73
113	74
114	75
115	76
116	77
117	78
118	79
119	80
120	81
121	82
122	83
123	84
124	85
125	86
126	87
127	88
128	89
129	90
130	91
131	92
132	93
133	94
134	95
135	96
136	97
137	98
138	99
139	100
140	101
141	102
142	103
143	104
144	105
145	106
146	107
147	108
148	109
149	110
150	111
151	112
152	113
153	114
154	115
155	116
156	117
157	118
158	119
159	120
160	121
161	122
162	123
163	124
164	125
165	126
166	127
167	128
168	129
169	130
170	131
171	132
172	133
173	134
174	135
175	136
176	137
177	138
178	139
179	140
180	141
181	142
182	143
183	144
184	145
185	146
186	147
187	148
188	149
189	150
190	151
191	152
192	153
193	154
194	155
195	156
196	157
197	158
198	159
199	160
200	161
201	162
202	163
203	164
204	165
205	166
206	167
207	168
208	169
209	170
210	171
211	172
212	173
213	174
214	175
215	176
216	177
217	178
218	179
219	180
220	181
221	182
222	183
223	184
224	185
225	186
226	187
227	188
228	189
229	190
230	191
231	192
232	193
233	194
234	195
235	196
236	197
237	198
238	199
239	200
240	201
241	202
242	203
243	204
244	205
245	206
246	207
247	208
248	209
249	210
250	211
251	212
252	213
253	214
254	215
255	216
256	217
257	218
258	219
259	220
260	221
261	222
262	223
263	224
264	225
265	226
266	227
267	228
268	229
269	230
270	231
271	232
272	233
273	234
274	235
275	236
276	237
277	238
278	239
279	240
280	241
281	242
282	243
283	244
284	245
285	246
286	247
287	248
288	249
289	250
290	251
291	252
292	253
293	254
294	255
295	256
296	257
297	258
298	259
299	260
300	261
301	262
302	263
303	264
304	265
305	266
306	267
307	268
308	269
309	270
310	271
311	272
312	273
313	274
314	275
315	276
316	277
317	278
318	279
319	280
320	281
321	282
322	283
323	284
324	285
325	286
326	287
327	288
328	289
329	290
330	291
331	292
332	293
333	294
334	295
335	296
336	297
337	298
338	299
339	300
340	301
341	302
342	303
343	304
344	305
345	306
346	307
347	308
348	309
349	310
350	311
351	312
352	313
