minCharge,chargeDispRate,initCharge,vehicleNum,vehicleType,initSpeed
kW*min,kW/min,kW*min,int,string,km/min
0,24,600,2,PlugInEV,1
0,24,600,4,OnlineEV,1
0,24,600,6,PlugInEV,1
0,24,600,8,OnlineEV,1
0,24,600,10,PlugInEV,1
0,24,600,12,OnlineEV,1
0,24,600,14,PlugInEV,1
0,24,600,16,OnlineEV,1
0,24,600,18,PlugInEV,1
0,24,600,20,OnlineEV,1
0,24,600,22,PlugInEV,1
0,24,600,24,OnlineEV,1
0,24,600,26,PlugInEV,1
0,24,600,28,OnlineEV,1
0,24,600,30,PlugInEV,1
0,24,600,32,OnlineEV,1
0,24,600,34,PlugInEV,1
0,24,600,36,OnlineEV,1
0,24,600,38,PlugInEV,1
0,24,600,40,OnlineEV,1
0,24,600,42,PlugInEV,1
0,24,600,44,OnlineEV,1
0,24,600,46,PlugInEV,1
0,24,600,48,OnlineEV,1
0,24,600,50,PlugInEV,1
0,24,600,52,OnlineEV,1
0,24,600,54,PlugInEV,1
0,24,600,56,OnlineEV,1
0,24,600,58,PlugInEV,1
0,24,600,60,OnlineEV,1
0,24,600,62,PlugInEV,1
0,24,600,64,OnlineEV,1
0,24,600,66,PlugInEV,1
0,24,600,68,OnlineEV,1
0,24,600,70,PlugInEV,1
0,24,600,72,OnlineEV,1
0,24,600,74,PlugInEV,1
0,24,600,76,OnlineEV,1
0,24,600,78,PlugInEV,1
0,24,600,80,OnlineEV,1
0,24,600,82,PlugInEV,1
0,24,600,84,OnlineEV,1
0,24,600,86,PlugInEV,1
0,24,600,88,OnlineEV,1
0,24,600,90,PlugInEV,1
0,24,600,92,OnlineEV,1
0,24,600,94,PlugInEV,1
0,24,600,96,OnlineEV,1
0,24,600,98,PlugInEV,1
0,24,600,100,OnlineEV,1
0,24,600,102,PlugInEV,1
0,24,600,104,OnlineEV,1
0,24,600,106,PlugInEV,1
0,24,600,108,OnlineEV,1
0,24,600,110,PlugInEV,1
0,24,600,112,OnlineEV,1
0,24,600,114,PlugInEV,1
0,24,600,116,OnlineEV,1
0,24,600,118,PlugInEV,1
0,24,600,120,OnlineEV,1
0,24,600,122,PlugInEV,1
0,24,600,124,OnlineEV,1
0,24,600,126,PlugInEV,1
0,24,600,128,OnlineEV,1
0,24,600,130,PlugInEV,1
0,24,600,132,OnlineEV,1
0,24,600,134,PlugInEV,1
0,24,600,136,OnlineEV,1
0,24,600,138,PlugInEV,1
0,24,600,140,OnlineEV,1
0,24,600,142,PlugInEV,1
0,24,600,144,OnlineEV,1
0,24,600,146,PlugInEV,1
0,24,600,148,OnlineEV,1
0,24,600,150,PlugInEV,1
0,24,600,152,OnlineEV,1
0,24,600,154,PlugInEV,1
0,24,600,156,OnlineEV,1
0,24,600,158,PlugInEV,1
0,24,600,160,OnlineEV,1
0,24,600,162,PlugInEV,1
0,24,600,164,OnlineEV,1
0,24,600,166,PlugInEV,1
0,24,600,168,OnlineEV,1
0,24,600,170,PlugInEV,1
0,24,600,172,OnlineEV,1
0,24,600,174,PlugInEV,1
0,24,600,176,OnlineEV,1
0,24,600,178,PlugInEV,1
0,24,600,180,OnlineEV,1
0,24,600,182,PlugInEV,1
0,24,600,184,OnlineEV,1
0,24,600,186,PlugInEV,1
0,24,600,188,OnlineEV,1
0,24,600,190,PlugInEV,1
0,24,600,192,OnlineEV,1
0,24,600,194,PlugInEV,1
0,24,600,196,OnlineEV,1
0,24,600,198,PlugInEV,1
0,24,600,200,OnlineEV,1
0,24,600,202,PlugInEV,1
0,24,600,204,OnlineEV,1
