branchNum,fBus,tBus,rBranch,xBranch,bBranch,rateA,rateB,rateC,tap,ang,status,angMin,angMax,pf,qf,pt,qt
int,int,int,pu,pu,pu,MVA,MVA,MVA,double,degrees,binary,degrees,degrees,MW,MVAr,MW,MVAr
1,65,67,0.00027780,0.00000942,0,0,0,0,1,0,1,0,0,0,0,0,0
2,69,65,0.00002700,0.00000912,0,0,0,0,1,0,1,0,0,0,0,0,0
3,58,69,0.00000000,0.00000768,0,0,0,0,1,0,1,0,0,0,0,0,0
4,67,84,0.00001236,0.00000420,0,0,0,0,1,0,1,0,0,0,0,0,0
5,67,92,0.00001236,0.00001200,0,0,0,0,1,0,1,0,0,0,0,0,0
6,59,57,0.00003546,0.00000156,0,0,0,0,1,0,1,0,0,0,0,0,0
7,64,70,0.00000462,0.00001020,0,0,0,0,1,0,1,0,0,0,0,0,0
8,58,68,0.00003006,0.00000300,0,0,0,0,1,0,1,0,0,0,0,0,0
9,62,60,0.00000894,0.00001566,0,0,0,0,1,0,1,0,0,0,0,0,0
10,70,62,0.00004626,0.00000324,0,0,0,0,1,0,1,0,0,0,0,0,0
11,60,59,0.00000954,0.00000624,0,0,0,0,1,0,1,0,0,0,0,0,0
12,57,61,0.00001848,0.00001848,0,0,0,0,1,0,1,0,0,0,0,0,0
13,63,66,0.00005460,0.00000642,0,0,0,0,1,0,1,0,0,0,0,0,0
14,66,67,0.00001896,0.00001230,0,0,0,0,1,0,1,0,0,0,0,0,0
15,61,63,0.00003642,0.00000864,0,0,0,0,1,0,1,0,0,0,0,0,0
16,1,16,0.00025440,0.00001254,0,0,0,0,1,0,1,0,0,0,0,0,0
17,5,6,0.00003702,0.00000576,0,0,0,0,1,0,1,0,0,0,0,0,0
18,6,2,0.00001698,0.00000744,0,0,0,0,1,0,1,0,0,0,0,0,0
19,17,4,0.00002190,0.00001746,0,0,0,0,1,0,1,0,0,0,0,0,0
20,4,5,0.00020820,0.00000702,0,0,0,0,1,0,1,0,0,0,0,0,0
21,16,17,0.00004932,0.00001668,0,0,0,0,1,0,1,0,0,0,0,0,0
22,1,13,0.00000696,0.00000234,0,0,0,0,1,0,1,0,0,0,0,0,0
23,7,8,0.00004008,0.00001356,0,0,0,0,1,0,1,0,0,0,0,0,0
24,8,2,0.00000618,0.00000210,0,0,0,0,1,0,1,0,0,0,0,0,0
25,18,7,0.00000924,0.00000312,0,0,0,0,1,0,1,0,0,0,0,0,0
26,13,15,0.00004164,0.00001410,0,0,0,0,1,0,1,0,0,0,0,0,0
27,85,90,0.00004012,0.00001356,0,0,0,0,1,0,1,0,0,0,0,0,0
28,87,88,0.00003390,0.00001146,0,0,0,0,1,0,1,0,0,0,0,0,0
29,88,66,0.00004548,0.00001542,0,0,0,0,1,0,1,0,0,0,0,0,0
30,19,50,0.00003702,0.00001254,0,0,0,0,1,0,1,0,0,0,0,0,0
31,50,51,0.00002928,0.00000990,0,0,0,0,1,0,1,0,0,0,0,0,0
32,51,55,0.00004932,0.00001668,0,0,0,0,1,0,1,0,0,0,0,0,0
33,55,26,0.00004008,0.00001356,0,0,0,0,1,0,1,0,0,0,0,0,0
34,26,30,0.00004320,0.00001464,0,0,0,0,1,0,1,0,0,0,0,0,0
35,39,46,0.00003858,0.00001308,0,0,0,0,1,0,1,0,0,0,0,0,0
36,50,53,0.00002316,0.00000786,0,0,0,0,1,0,1,0,0,0,0,0,0
37,53,23,0.00003084,0.00001044,0,0,0,0,1,0,1,0,0,0,0,0,0
38,23,28,0.00004008,0.00001356,0,0,0,0,1,0,1,0,0,0,0,0,0
39,28,33,0.00004860,0.00001644,0,0,0,0,1,0,1,0,0,0,0,0,0
40,46,20,0.00003546,0.00001200,0,0,0,0,1,0,1,0,0,0,0,0,0
41,19,43,0.00000618,0.00000210,0,0,0,0,1,0,1,0,0,0,0,0,0
42,43,24,0.00005400,0.00001830,0,0,0,0,1,0,1,0,0,0,0,0,0
43,24,34,0.00005400,0.00001830,0,0,0,0,1,0,1,0,0,0,0,0,0
44,34,37,0.00003390,0.00001146,0,0,0,0,1,0,1,0,0,0,0,0,0
45,37,40,0.00004392,0.00001488,0,0,0,0,1,0,1,0,0,0,0,0,0
46,42,47,0.00003390,0.00001146,0,0,0,0,1,0,1,0,0,0,0,0,0
47,47,49,0.00003084,0.00001044,0,0,0,0,1,0,1,0,0,0,0,0,0
48,19,32,0.00002778,0.00000942,0,0,0,0,1,0,1,0,0,0,0,0,0
49,27,35,0.00003858,0.00001308,0,0,0,0,1,0,1,0,0,0,0,0,0
50,48,44,0.00001848,0.00000624,0,0,0,0,1,0,1,0,0,0,0,0,0
51,54,22,0.00003240,0.00001098,0,0,0,0,1,0,1,0,0,0,0,0,0
52,22,27,0.00002928,0.00000990,0,0,0,0,1,0,1,0,0,0,0,0,0
53,32,54,0.00001848,0.00000624,0,0,0,0,1,0,1,0,0,0,0,0,0
54,20,49,0.00001542,0.00000522,0,0,0,0,1,0,1,0,0,0,0,0,0
55,36,31,0.00004470,0.00001512,0,0,0,0,1,0,1,0,0,0,0,0,0
56,41,36,0.00002850,0.00000966,0,0,0,0,1,0,1,0,0,0,0,0,0
57,45,41,0.00001080,0.00000366,0,0,0,0,1,0,1,0,0,0,0,0,0
