nodeNum,nodeName,nodeType,nodePFAType,status,busArea,pInject,qInject,lossZone,baseKV,voltageMag,voltageAng,maxV,minV,gpsX,gpsY,loadSNum,loadSType,maxP,minP,maxQ,minQ,rNode,xNode,locCtrlStatus,locCtrlType
int,string,string,string,binary,int,MW,MVAr,int,kV,pu,degrees,pu,pu,degrees,degrees,int,string,MW,MW,MVAr,MVAr,pu,pu,binary,string
2,LoadS1,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,1,StaticLoad,0,0,0,0,0,0,0,TG1
6,LoadS2,LoadS,LS,1,1,-34.05,-25.525,1,10,1,0,1.1,0.9,1,1,2,StaticLoad,0,0,0,0,0,0,0,TG1
7,LoadS3,LoadS,LS,1,1,-55.325,-41.5,1,10,1,0,1.1,0.9,1,1,3,StaticLoad,0,0,0,0,0,0,0,TG1
8,LoadS4,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,4,StaticLoad,0,0,0,0,0,0,0,TG1
13,LoadS5,LoadS,LS,1,1,-44.925,-33.675,1,10,1,0,1.1,0.9,1,1,5,StaticLoad,0,0,0,0,0,0,0,TG1
15,LoadS6,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,6,StaticLoad,0,0,0,0,0,0,0,TG1
16,LoadS7,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,7,StaticLoad,0,0,0,0,0,0,0,TG1
17,LoadS8,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,8,StaticLoad,0,0,0,0,0,0,0,TG1
19,LoadS9,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,9,StaticLoad,0,0,0,0,0,0,0,TG1
21,LoadS10,LoadS,LS,1,1,-129.6,-97.2,1,10,1,0,1.1,0.9,1,1,10,StaticLoad,0,0,0,0,0,0,0,TG1
23,LoadS11,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,11,StaticLoad,0,0,0,0,0,0,0,TG1
24,LoadS12,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,12,StaticLoad,0,0,0,0,0,0,0,TG1
25,LoadS13,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,13,StaticLoad,0,0,0,0,0,0,0,TG1
26,LoadS14,LoadS,LS,1,1,-69.35,-52.025,1,10,1,0,1.1,0.9,1,1,14,StaticLoad,0,0,0,0,0,0,0,TG1
29,LoadS15,LoadS,LS,1,1,-162,-121.5,1,10,1,0,1.1,0.9,1,1,15,StaticLoad,0,0,0,0,0,0,0,TG1
32,LoadS16,LoadS,LS,1,1,-30.25,-22.675,1,10,1,0,1.1,0.9,1,1,16,StaticLoad,0,0,0,0,0,0,0,TG1
34,LoadS17,LoadS,LS,1,1,-129.6,-97.2,1,10,1,0,1.1,0.9,1,1,17,StaticLoad,0,0,0,0,0,0,0,TG1
35,LoadS18,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,18,StaticLoad,0,0,0,0,0,0,0,TG1
37,LoadS19,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,19,StaticLoad,0,0,0,0,0,0,0,TG1
38,LoadS20,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,20,StaticLoad,0,0,0,0,0,0,0,TG1
43,LoadS21,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,21,StaticLoad,0,0,0,0,0,0,0,TG1
46,LoadS22,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,22,StaticLoad,0,0,0,0,0,0,0,TG1
47,LoadS23,LoadS,LS,1,1,-57.875,-43.4,1,10,1,0,1.1,0.9,1,1,23,StaticLoad,0,0,0,0,0,0,0,TG1
52,LoadS24,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,24,StaticLoad,0,0,0,0,0,0,0,TG1
57,LoadS25,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,25,StaticLoad,0,0,0,0,0,0,0,TG1
59,LoadS26,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,26,StaticLoad,0,0,0,0,0,0,0,TG1
61,LoadS27,LoadS,LS,1,1,-47.6,-35.7,1,10,1,0,1.1,0.9,1,1,27,StaticLoad,0,0,0,0,0,0,0,TG1
63,LoadS28,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,28,StaticLoad,0,0,0,0,0,0,0,TG1
64,LoadS29,LoadS,LS,1,1,-63.55,-47.65,1,10,1,0,1.1,0.9,1,1,29,StaticLoad,0,0,0,0,0,0,0,TG1
68,LoadS30,LoadS,LS,1,1,-34.525,-25.9,1,10,1,0,1.1,0.9,1,1,30,StaticLoad,0,0,0,0,0,0,0,TG1
70,LoadS31,LoadS,LS,1,1,-113.925,-85.45,1,10,1,0,1.1,0.9,1,1,31,StaticLoad,0,0,0,0,0,0,0,TG1
73,LoadS32,LoadS,LS,1,1,-79.45,-59.6,1,10,1,0,1.1,0.9,1,1,32,StaticLoad,0,0,0,0,0,0,0,TG1
77,LoadS33,LoadS,LS,1,1,-29.2,-21.9,1,10,1,0,1.1,0.9,1,1,33,StaticLoad,0,0,0,0,0,0,0,TG1
78,LoadS34,LoadS,LS,1,1,-54.3,-40.725,1,10,1,0,1.1,0.9,1,1,34,StaticLoad,0,0,0,0,0,0,0,TG1
79,LoadS35,LoadS,LS,1,1,-88,-66,1,10,1,0,1.1,0.9,1,1,35,StaticLoad,0,0,0,0,0,0,0,TG1
84,LoadS36,LoadS,LS,1,1,-34.825,-26.125,1,10,1,0,1.1,0.9,1,1,36,StaticLoad,0,0,0,0,0,0,0,TG1
85,LoadS37,LoadS,LS,1,1,-68.125,-51.1,1,10,1,0,1.1,0.9,1,1,37,StaticLoad,0,0,0,0,0,0,0,TG1
90,LoadS39,LoadS,LS,1,1,-13.925,-10.45,1,10,1,0,1.1,0.9,1,1,39,StaticLoad,0,0,0,0,0,0,0,TG1
92,LoadS40,LoadS,LS,1,1,-13.925,-10.45,1,10,1,0,1.1,0.9,1,1,40,StaticLoad,0,0,0,0,0,0,0,TG1
94,LoadS41,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,41,StaticLoad,0,0,0,0,0,0,0,TG1
96,LoadS42,LoadS,LS,1,1,-4.675,-3.5,1,10,1,0,1.1,0.9,1,1,42,StaticLoad,0,0,0,0,0,0,0,TG1
97,LoadS43,LoadS,LS,1,1,-42.6,-31.95,1,10,1,0,1.1,0.9,1,1,43,StaticLoad,0,0,0,0,0,0,0,TG1
99,LoadS44,LoadS,LS,1,1,-11,-8.25,1,10,1,0,1.1,0.9,1,1,44,StaticLoad,0,0,0,0,0,0,0,TG1
102,LoadS45,LoadS,LS,1,1,-47.375,-35.525,1,10,1,0,1.1,0.9,1,1,45,StaticLoad,0,0,0,0,0,0,0,TG1
103,LoadS46,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,46,StaticLoad,0,0,0,0,0,0,0,TG1
104,LoadS47,LoadS,LS,1,1,-129.6,-97.2,1,10,1,0,1.1,0.9,1,1,47,StaticLoad,0,0,0,0,0,0,0,TG1
105,LoadS48,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,48,StaticLoad,0,0,0,0,0,0,0,TG1
106,LoadS49,LoadS,LS,1,1,-36.625,-27.475,1,10,1,0,1.1,0.9,1,1,49,StaticLoad,0,0,0,0,0,0,0,TG1
107,LoadS50,LoadS,LS,1,1,-25.25,-18.95,1,10,1,0,1.1,0.9,1,1,50,StaticLoad,0,0,0,0,0,0,0,TG1
108,LoadS51,LoadS,LS,1,1,-14.5,-10.875,1,10,1,0,1.1,0.9,1,1,51,StaticLoad,0,0,0,0,0,0,0,TG1
109,LoadS52,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,52,StaticLoad,0,0,0,0,0,0,0,TG1
110,LoadS53,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,53,StaticLoad,0,0,0,0,0,0,0,TG1
112,LoadS54,LoadS,LS,1,1,-25.475,-19.1,1,10,1,0,1.1,0.9,1,1,54,StaticLoad,0,0,0,0,0,0,0,TG1
113,LoadS55,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,55,StaticLoad,0,0,0,0,0,0,0,TG1
114,LoadS56,LoadS,LS,1,1,-17.975,-13.475,1,10,1,0,1.1,0.9,1,1,56,StaticLoad,0,0,0,0,0,0,0,TG1
115,LoadS57,LoadS,LS,1,1,-42.6,-31.95,1,10,1,0,1.1,0.9,1,1,57,StaticLoad,0,0,0,0,0,0,0,TG1
128,LoadS58,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,58,StaticLoad,0,0,0,0,0,0,0,TG1
130,LoadS59,LoadS,LS,1,1,-41.425,-31.075,1,10,1,0,1.1,0.9,1,1,59,StaticLoad,0,0,0,0,0,0,0,TG1
131,LoadS60,LoadS,LS,1,1,-70.35,-52.75,1,10,1,0,1.1,0.9,1,1,60,StaticLoad,0,0,0,0,0,0,0,TG1
132,LoadS61,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,61,StaticLoad,0,0,0,0,0,0,0,TG1
133,LoadS62,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,62,StaticLoad,0,0,0,0,0,0,0,TG1
134,LoadS63,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,63,StaticLoad,0,0,0,0,0,0,0,TG1
135,LoadS64,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,64,StaticLoad,0,0,0,0,0,0,0,TG1
137,LoadS65,LoadS,LS,1,1,-55,-4.125,1,10,1,0,1.1,0.9,1,1,65,StaticLoad,0,0,0,0,0,0,0,TG1
138,LoadS66,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,66,StaticLoad,0,0,0,0,0,0,0,TG1
141,LoadS67,LoadS,LS,1,1,-102.05,-76.55,1,10,1,0,1.1,0.9,1,1,67,StaticLoad,0,0,0,0,0,0,0,TG1
146,LoadS68,LoadS,LS,1,1,-25.25,-18.95,1,10,1,0,1.1,0.9,1,1,68,StaticLoad,0,0,0,0,0,0,0,TG1
147,LoadS69,LoadS,LS,1,1,-55,-41.25,1,10,1,0,1.1,0.9,1,1,69,StaticLoad,0,0,0,0,0,0,0,TG1
149,LoadS70,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,70,StaticLoad,0,0,0,0,0,0,0,TG1
150,LoadS71,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,71,StaticLoad,0,0,0,0,0,0,0,TG1
152,LoadS72,LoadS,LS,1,1,-40.225,-30.175,1,10,1,0,1.1,0.9,1,1,72,StaticLoad,0,0,0,0,0,0,0,TG1
153,LoadS73,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,73,StaticLoad,0,0,0,0,0,0,0,TG1
156,LoadS74,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,74,StaticLoad,0,0,0,0,0,0,0,TG1
158,LoadS75,LoadS,LS,1,1,-1.75,-1.325,1,10,1,0,1.1,0.9,1,1,75,StaticLoad,0,0,0,0,0,0,0,TG1
159,LoadS76,LoadS,LS,1,1,-0.675,-0.5,1,10,1,0,1.1,0.9,1,1,76,StaticLoad,0,0,0,0,0,0,0,TG1
162,LoadS77,LoadS,LS,1,1,-6.85,-5.15,1,10,1,0,1.1,0.9,1,1,77,StaticLoad,0,0,0,0,0,0,0,TG1
164,LoadS78,LoadS,LS,1,1,-10.825,-8.125,1,10,1,0,1.1,0.9,1,1,78,StaticLoad,0,0,0,0,0,0,0,TG1
170,LoadS79,LoadS,LS,1,1,-13.925,-10.45,1,10,1,0,1.1,0.9,1,1,79,StaticLoad,0,0,0,0,0,0,0,TG1
171,LoadS80,LoadS,LS,1,1,-18.15,-13.6,1,10,1,0,1.1,0.9,1,1,80,StaticLoad,0,0,0,0,0,0,0,TG1
172,LoadS81,LoadS,LS,1,1,-68.175,-51.125,1,10,1,0,1.1,0.9,1,1,81,StaticLoad,0,0,0,0,0,0,0,TG1
175,LoadS82,LoadS,LS,1,1,-32.9,-24.675,1,10,1,0,1.1,0.9,1,1,82,StaticLoad,0,0,0,0,0,0,0,TG1
177,LoadS83,LoadS,LS,1,1,-129.6,-97.2,1,10,1,0,1.1,0.9,1,1,83,StaticLoad,0,0,0,0,0,0,0,TG1
178,LoadS84,LoadS,LS,1,1,0,0,1,10,1,0,1.1,0.9,1,1,84,StaticLoad,0,0,0,0,0,0,0,TG1
179,LoadS85,LoadS,LS,1,1,-51.85,-38.875,1,10,1,0,1.1,0.9,1,1,85,StaticLoad,0,0,0,0,0,0,0,TG1
182,LoadS86,LoadS,LS,1,1,-81,-60.75,1,10,1,0,1.1,0.9,1,1,86,StaticLoad,0,0,0,0,0,0,0,TG1
183,LoadS87,LoadS,LS,1,1,-42.6,-31.95,1,10,1,0,1.1,0.9,1,1,87,StaticLoad,0,0,0,0,0,0,0,TG1
184,LoadS88,LoadS,LS,1,1,-57.575,-43.175,1,10,1,0,1.1,0.9,1,1,88,StaticLoad,0,0,0,0,0,0,0,TG1
185,LoadS89,LoadS,LS,1,1,-54.65,-41,1,10,1,0,1.1,0.9,1,1,89,StaticLoad,0,0,0,0,0,0,0,TG1
187,LoadS90,LoadS,LS,1,1,-111.775,-83.825,1,10,1,0,1.1,0.9,1,1,90,StaticLoad,0,0,0,0,0,0,0,TG1
