nodeNum,nodeName,nodeType,nodePFAType,status,busArea,pInject,qInject,lossZone,baseKV,voltageMag,voltageAng,maxV,minV,gpsX,gpsY,storageSNum,storageSType,maxP,minP,maxQ,minQ,rNode,xNode,locCtrlStatus,locCtrlType
int,string,string,string,binary,int,MW,MVAr,int,kV,pu,degrees,pu,pu,degrees,degrees,int,string,MW,MW,MVAr,MVAr,pu,pu,binary,string
1,eStation1,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,4,12,1,StaticStorage,0,0,0,0,0,0,0,TG1
3,eStation3,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2,12,2,StaticStorage,0,0,0,0,0,0,0,TG1
4,eRoad4,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2,10.5,3,StaticStorage,0,0,0,0,0,0,0,TG1
5,eRoad5,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2.5,10,4,StaticStorage,0,0,0,0,0,0,0,TG1
9,eStation9,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,10,5,StaticStorage,0,0,0,0,0,0,0,TG1
10,eStation10,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,11,6,StaticStorage,0,0,0,0,0,0,0,TG1
11,eStation11,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,1,12,7,StaticStorage,0,0,0,0,0,0,0,TG1
12,eStation12,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,3,12,8,StaticStorage,0,0,0,0,0,0,0,TG1
14,eStation14,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,12,9,StaticStorage,0,0,0,0,0,0,0,TG1
18,eRoad18,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,3.5,8,10,StaticStorage,0,0,0,0,0,0,0,TG1
20,eStation20,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,6,11,StaticStorage,0,0,0,0,0,0,0,TG1
22,eStation22,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8,4,12,StaticStorage,0,0,0,0,0,0,0,TG1
27,eRoad27,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8,3.5,13,StaticStorage,0,0,0,0,0,0,0,TG1
28,eStation28,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,9,0,14,StaticStorage,0,0,0,0,0,0,0,TG1
30,eStation30,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10,0,15,StaticStorage,0,0,0,0,0,0,0,TG1
31,eStation31,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,1,16,StaticStorage,0,0,0,0,0,0,0,TG1
33,eStation33,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8,0,17,StaticStorage,0,0,0,0,0,0,0,TG1
36,eStation36,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,2,18,StaticStorage,0,0,0,0,0,0,0,TG1
39,eRoad39,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10.5,6,19,StaticStorage,0,0,0,0,0,0,0,TG1
40,eStation40,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,7,0,20,StaticStorage,0,0,0,0,0,0,0,TG1
41,eStation41,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,3,21,StaticStorage,0,0,0,0,0,0,0,TG1
42,eRoad42,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10,5.5,22,StaticStorage,0,0,0,0,0,0,0,TG1
44,eStation44,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,0,23,StaticStorage,0,0,0,0,0,0,0,TG1
45,eStation45,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,4,24,StaticStorage,0,0,0,0,0,0,0,TG1
48,eStation48,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,11,0,25,StaticStorage,0,0,0,0,0,0,0,TG1
49,eStation49,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,5,26,StaticStorage,0,0,0,0,0,0,0,TG1
50,eRoad50,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10,2.5,27,StaticStorage,0,0,0,0,0,0,0,TG1
51,eRoad51,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10.5,2,28,StaticStorage,0,0,0,0,0,0,0,TG1
53,eRoad53,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,9.5,2,29,StaticStorage,0,0,0,0,0,0,0,TG1
54,eRoad54,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,8.5,4,30,StaticStorage,0,0,0,0,0,0,0,TG1
55,eRoad55,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,10,1.5,31,StaticStorage,0,0,0,0,0,0,0,TG1
56,eStation56,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,12,7,32,StaticStorage,0,0,0,0,0,0,0,TG1
58,eStation58,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,3,33,StaticStorage,0,0,0,0,0,0,0,TG1
60,eRoad60,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,2,9.5,34,StaticStorage,0,0,0,0,0,0,0,TG1
62,eRoad62,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,1.5,10,35,StaticStorage,0,0,0,0,0,0,0,TG1
65,eStation65,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,5,36,StaticStorage,0,0,0,0,0,0,0,TG1
66,eStation66,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,7,37,StaticStorage,0,0,0,0,0,0,0,TG1
67,eStation67,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,6,38,StaticStorage,0,0,0,0,0,0,0,TG1
69,eStation69,StorageS,LS,1,1,0,0,1,10,1,1,1.1,0.9,0,4,39,StaticStorage,0,0,0,0,0,0,0,TG1
