linkNum,linkName,linkType,origin,dest,vehicleCCap,freeSpeed,distance
int,string,string,int,int,vehicles,km/min,km
1,'Link   1',LinkC,1,14,5000,1,1
2,'Link   2',LinkC,14,27,5000,1,1
3,'Link   3',LinkC,27,40,5000,1,1
4,'Link   4',LinkC,40,53,5000,1,1
5,'Link   5',LinkC,53,66,5000,1,1
6,'Link   6',LinkC,66,79,5000,1,1
7,'Link   7',LinkC,79,92,5000,1,1
8,'Link   8',LinkC,92,105,5000,1,1
9,'Link   9',LinkC,105,118,5000,1,1
10,'Link  10',LinkC,118,131,5000,1,1
11,'Link  11',LinkC,131,144,5000,1,1
12,'Link  12',LinkC,144,157,5000,1,1
13,'Link  13',LinkC,2,15,5000,1,1
14,'Link  14',LinkC,15,28,5000,1,1
15,'Link  15',LinkC,28,41,5000,1,1
16,'Link  16',LinkC,41,54,5000,1,1
17,'Link  17',LinkC,54,67,5000,1,1
18,'Link  18',LinkC,67,80,5000,1,1
19,'Link  19',LinkC,80,93,5000,1,1
20,'Link  20',LinkC,93,106,5000,1,1
21,'Link  21',LinkC,106,119,5000,1,1
22,'Link  22',LinkC,119,132,5000,1,1
23,'Link  23',LinkC,132,145,5000,1,1
24,'Link  24',LinkC,145,158,5000,1,1
25,'Link  25',LinkC,3,16,5000,1,1
28,'Link  28',LinkC,42,55,5000,1,1
29,'Link  29',LinkC,55,68,5000,1,1
32,'Link  32',LinkC,94,107,5000,1,1
33,'Link  33',LinkC,107,120,5000,1,1
36,'Link  36',LinkC,146,159,5000,1,1
37,'Link  37',LinkC,4,17,5000,1,1
38,'Link  38',LinkC,17,30,5000,1,1
39,'Link  39',LinkC,30,43,5000,1,1
40,'Link  40',LinkC,43,56,5000,1,1
41,'Link  41',LinkC,56,69,5000,1,1
42,'Link  42',LinkC,69,82,5000,1,1
43,'Link  43',LinkC,82,95,5000,1,1
44,'Link  44',LinkC,95,108,5000,1,1
45,'Link  45',LinkC,108,121,5000,1,1
46,'Link  46',LinkC,121,134,5000,1,1
47,'Link  47',LinkC,134,147,5000,1,1
48,'Link  48',LinkC,147,160,5000,1,1
49,'Link  49',LinkC,5,18,5000,1,1
50,'Link  50',LinkC,18,31,5000,1,1
51,'Link  51',LinkC,31,44,5000,1,1
54,'Link  54',LinkC,70,83,5000,1,1
55,'Link  55',LinkC,83,96,5000,1,1
58,'Link  58',LinkC,122,135,5000,1,1
59,'Link  59',LinkC,135,148,5000,1,1
60,'Link  60',LinkC,148,161,5000,1,1
61,'Link  61',LinkC,6,19,5000,1,1
62,'Link  62',LinkC,19,32,5000,1,1
63,'Link  63',LinkC,32,45,5000,1,1
64,'Link  64',LinkC,45,58,5000,1,1
65,'Link  65',LinkC,58,71,5000,1,1
66,'Link  66',LinkC,71,84,5000,1,1
67,'Link  67',LinkC,84,97,5000,1,1
68,'Link  68',LinkC,97,110,5000,1,1
69,'Link  69',LinkC,110,123,5000,1,1
70,'Link  70',LinkC,123,136,5000,1,1
