pLinkCharge,vehicleECap,linkNum,linkName,linkType,origin,dest,vehicleCCap,freeSpeed,distance
kW/vehicle,vehicles,int,string,string,int,int,vehicles,km/min,km
48,25,26,Link  26,LinkE,16,29,5000,1,1
48,25,27,Link  27,LinkE,29,42,5000,1,1
48,25,30,Link  30,LinkE,68,81,5000,1,1
48,25,31,Link  31,LinkE,81,94,5000,1,1
48,25,34,Link  34,LinkE,120,133,5000,1,1
48,25,35,Link  35,LinkE,133,146,5000,1,1
48,25,52,Link  52,LinkE,44,57,5000,1,1
48,25,53,Link  53,LinkE,57,70,5000,1,1
48,25,56,Link  56,LinkE,96,109,5000,1,1
48,25,57,Link  57,LinkE,109,122,5000,1,1
48,25,74,Link  74,LinkE,20,33,5000,1,1
48,25,75,Link  75,LinkE,33,46,5000,1,1
48,25,78,Link  78,LinkE,72,85,5000,1,1
48,25,79,Link  79,LinkE,85,98,5000,1,1
48,25,82,Link  82,LinkE,124,137,5000,1,1
48,25,83,Link  83,LinkE,137,150,5000,1,1
48,25,100,Link 100,LinkE,48,61,5000,1,1
48,25,101,Link 101,LinkE,61,74,5000,1,1
48,25,104,Link 104,LinkE,100,113,5000,1,1
48,25,105,Link 105,LinkE,113,126,5000,1,1
48,25,122,Link 122,LinkE,24,37,5000,1,1
48,25,123,Link 123,LinkE,37,50,5000,1,1
48,25,126,Link 126,LinkE,76,89,5000,1,1
48,25,127,Link 127,LinkE,89,102,5000,1,1
48,25,130,Link 130,LinkE,128,141,5000,1,1
48,25,131,Link 131,LinkE,141,154,5000,1,1
48,25,182,Link 182,LinkE,28,29,5000,1,1
48,25,183,Link 183,LinkE,29,30,5000,1,1
48,25,186,Link 186,LinkE,32,33,5000,1,1
48,25,187,Link 187,LinkE,33,34,5000,1,1
48,25,190,Link 190,LinkE,36,37,5000,1,1
48,25,191,Link 191,LinkE,37,38,5000,1,1
48,25,208,Link 208,LinkE,56,57,5000,1,1
48,25,209,Link 209,LinkE,57,58,5000,1,1
48,25,212,Link 212,LinkE,60,61,5000,1,1
48,25,213,Link 213,LinkE,61,62,5000,1,1
48,25,230,Link 230,LinkE,80,81,5000,1,1
48,25,231,Link 231,LinkE,81,82,5000,1,1
48,25,234,Link 234,LinkE,84,85,5000,1,1
48,25,235,Link 235,LinkE,85,86,5000,1,1
48,25,238,Link 238,LinkE,88,89,5000,1,1
48,25,239,Link 239,LinkE,89,90,5000,1,1
48,25,256,Link 256,LinkE,108,109,5000,1,1
48,25,257,Link 257,LinkE,109,110,5000,1,1
48,25,260,Link 260,LinkE,112,113,5000,1,1
48,25,261,Link 261,LinkE,113,114,5000,1,1
48,25,278,Link 278,LinkE,132,133,5000,1,1
48,25,279,Link 279,LinkE,133,134,5000,1,1
48,25,282,Link 282,LinkE,136,137,5000,1,1
48,25,283,Link 283,LinkE,137,138,5000,1,1
